stand	species	cover	A1	Moisture	Management	Use	Manure
1	Achimill	1	2.8	1	SF	Haypastu	4
1	Elymrepe	4	2.8	1	SF	Haypastu	4
1	Lolipere	7	2.8	1	SF	Haypastu	4
1	Poaprat	4	2.8	1	SF	Haypastu	4
1	Poatriv	2	2.8	1	SF	Haypastu	4
2	Achimill	3	3.5	1	BF	Haypastu	2
2	Alopgeni	2	3.5	1	BF	Haypastu	2
2	Bellpere	3	3.5	1	BF	Haypastu	2
2	Bromhord	4	3.5	1	BF	Haypastu	2
2	Elymrepe	4	3.5	1	BF	Haypastu	2
2	Lolipere	5	3.5	1	BF	Haypastu	2
2	Poaprat	4	3.5	1	BF	Haypastu	2
2	Poatriv	7	3.5	1	BF	Haypastu	2
2	Scorautu	5	3.5	1	BF	Haypastu	2
2	Trifrepe	5	3.5	1	BF	Haypastu	2
3	Agrostol	4	4.3	2	SF	Haypastu	4
3	Alopgeni	7	4.3	2	SF	Haypastu	4
3	Bellpere	2	4.3	2	SF	Haypastu	4
3	Elymrepe	4	4.3	2	SF	Haypastu	4
3	Lolipere	6	4.3	2	SF	Haypastu	4
3	Poaprat	5	4.3	2	SF	Haypastu	4
3	Poatriv	6	4.3	2	SF	Haypastu	4
3	Scorautu	2	4.3	2	SF	Haypastu	4
3	Trifrepe	2	4.3	2	SF	Haypastu	4
3	Bracruta	2	4.3	2	SF	Haypastu	4
4	Agrostol	8	4.2	2	SF	Haypastu	4
4	Alopgeni	2	4.2	2	SF	Haypastu	4
4	Bellpere	2	4.2	2	SF	Haypastu	4
4	Bromhord	3	4.2	2	SF	Haypastu	4
4	Cirsarve	2	4.2	2	SF	Haypastu	4
4	Elymrepe	4	4.2	2	SF	Haypastu	4
4	Lolipere	5	4.2	2	SF	Haypastu	4
4	Poaprat	4	4.2	2	SF	Haypastu	4
4	Poatriv	5	4.2	2	SF	Haypastu	4
4	Sagiproc	5	4.2	2	SF	Haypastu	4
4	Scorautu	2	4.2	2	SF	Haypastu	4
4	Trifrepe	1	4.2	2	SF	Haypastu	4
4	Bracruta	2	4.2	2	SF	Haypastu	4
5	Achimill	2	6.3	1	HF	Hayfield	2
5	Anthodor	4	6.3	1	HF	Hayfield	2
5	Bellpere	2	6.3	1	HF	Hayfield	2
5	Bromhord	2	6.3	1	HF	Hayfield	2
5	Elymrepe	4	6.3	1	HF	Hayfield	2
5	Lolipere	2	6.3	1	HF	Hayfield	2
5	Planlanc	5	6.3	1	HF	Hayfield	2
5	Poaprat	2	6.3	1	HF	Hayfield	2
5	Poatriv	6	6.3	1	HF	Hayfield	2
5	Rumeacet	5	6.3	1	HF	Hayfield	2
5	Scorautu	3	6.3	1	HF	Hayfield	2
5	Trifprat	2	6.3	1	HF	Hayfield	2
5	Trifrepe	2	6.3	1	HF	Hayfield	2
5	Bracruta	2	6.3	1	HF	Hayfield	2
6	Achimill	2	4.3	1	HF	Haypastu	2
6	Anthodor	3	4.3	1	HF	Haypastu	2
6	Lolipere	6	4.3	1	HF	Haypastu	2
6	Planlanc	5	4.3	1	HF	Haypastu	2
6	Poaprat	3	4.3	1	HF	Haypastu	2
6	Poatriv	4	4.3	1	HF	Haypastu	2
6	Rumeacet	6	4.3	1	HF	Haypastu	2
6	Scorautu	3	4.3	1	HF	Haypastu	2
6	Trifprat	5	4.3	1	HF	Haypastu	2
6	Trifrepe	5	4.3	1	HF	Haypastu	2
6	Bracruta	6	4.3	1	HF	Haypastu	2
7	Achimill	2	2.8	1	HF	Pasture	3
7	Anthodor	2	2.8	1	HF	Pasture	3
7	Bromhord	2	2.8	1	HF	Pasture	3
7	Juncbufo	2	2.8	1	HF	Pasture	3
7	Lolipere	6	2.8	1	HF	Pasture	3
